0	1	1	Margonda	Depok	Jawa Barat
1	2	2	Bekasi Timur	Bekasi	Jawa Barat
2	3	3	Margonda	Depok	Jawa Barat
3	4	4	TMII	Jakarta Timur	DKI Jakarta
4	5	5	Bekasi Barat	Bekasi	Jawa Barat
5	6	6	Jatinegara	Jakarta Timur	DKI Jakarta
6	7	7	Cempaka Emas	Jakarta Utara	DKI Jakarta
7	8	8	Kebon Jeruk	Jakarta Pusat	DKI Jakarta
8	9	9	Cempaka Emas	Jakarta Utara	DKI Jakarta
9	10	10	Daan Mogot	Tangerang	Jawa Barat
10	11	11	TMII	Jakarta Timur	DKI Jakarta
11	12	12	Depok	Depok	Jawa Barat
12	13	13	TMII	Jakarta Timur	DKI Jakarta
13	14	14	Bekasi Timur	Bekasi	Jawa Barat
14	15	15	Kemang	Jakarta Selatan	DKI Jakarta
15	16	16	Cilandak	Jakarta Selatan	DKI Jakarta
16	17	17	Bekasi Timur	Bekasi	Jawa Barat
17	18	18	Bekasi Barat	Bekasi	Jawa Barat
18	19	19	Kebon Jeruk	Jakarta Pusat	DKI Jakarta
19	20	20	Slipi	Jakarta Barat	DKI Jakarta
20	21	21	Priuk	Jakarta Utara	DKI Jakarta
21	22	22	Depok Cinere	Depok	Jawa Barat
22	23	23	Cilandak	Jakarta Selatan	DKI Jakarta
23	24	24	Kukusan	Depok	Jawa Barat
24	25	25	Kebon Jeruk	Jakarta Pusat	DKI Jakarta
25	26	26	Priuk	Jakarta Utara	DKI Jakarta
26	27	27	Kemang	Jakarta Selatan	DKI Jakarta
27	28	28	Kukusan	Depok	Jawa Barat
28	29	29	Bekasi Timur	Bekasi	Jawa Barat
29	30	30	Priuk	Jakarta Utara	DKI Jakarta
30	31	31	Cempaka Emas	Jakarta Utara	DKI Jakarta
31	32	32	Cempaka Emas	Jakarta Utara	DKI Jakarta
32	33	33	Priuk	Jakarta Utara	DKI Jakarta
33	34	34	Ragunan	Jakarta Selatan	DKI Jakarta
34	35	35	Cilandak	Jakarta Selatan	DKI Jakarta
35	36	36	Bekasi Timur	Bekasi	Jawa Barat
36	37	37	Daan Mogot	Tangerang	Jawa Barat
37	38	38	Kukusan	Depok	Jawa Barat
38	39	39	TMII	Jakarta Timur	DKI Jakarta
39	40	40	Bekasi Timur	Bekasi	Jawa Barat
40	41	41	Kemang	Jakarta Selatan	DKI Jakarta
41	42	42	Ragunan	Jakarta Selatan	DKI Jakarta
42	43	43	Kemang	Jakarta Selatan	DKI Jakarta
43	44	44	Depok	Depok	Jawa Barat
44	45	45	Cempaka Emas	Jakarta Utara	DKI Jakarta
45	46	46	Cempaka Emas	Jakarta Utara	DKI Jakarta
46	47	47	Depok Cinere	Depok	Jawa Barat
47	48	48	Slipi	Jakarta Barat	DKI Jakarta
48	49	49	Cempaka Emas	Jakarta Utara	DKI Jakarta
49	50	50	TMII	Jakarta Timur	DKI Jakarta
50	51	51	Kukusan	Depok	Jawa Barat
51	52	52	Tanah Abang	Jakarta Pusat	DKI Jakarta
52	53	53	Depok Cinere	Depok	Jawa Barat
53	54	54	Daan Mogot	Tangerang	Jawa Barat
54	55	55	Tanah Abang	Jakarta Pusat	DKI Jakarta
55	56	56	TMII	Jakarta Timur	DKI Jakarta
56	57	57	Bekasi Timur	Bekasi	Jawa Barat
57	58	58	Depok	Depok	Jawa Barat
58	59	59	TMII	Jakarta Timur	DKI Jakarta
59	60	60	Margonda	Depok	Jawa Barat
60	61	61	TMII	Jakarta Timur	DKI Jakarta
61	62	62	Daan Mogot	Tangerang	Jawa Barat
62	63	63	Bekasi Barat	Bekasi	Jawa Barat
63	64	64	Depok	Depok	Jawa Barat
64	65	65	Bekasi Timur	Bekasi	Jawa Barat
65	66	66	Margonda	Depok	Jawa Barat
66	67	67	Cempaka Emas	Jakarta Utara	DKI Jakarta
67	68	68	Tanah Abang	Jakarta Pusat	DKI Jakarta
68	69	69	Kebon Jeruk	Jakarta Pusat	DKI Jakarta
69	70	70	Depok Cinere	Depok	Jawa Barat
70	71	71	Kemang	Jakarta Selatan	DKI Jakarta
71	72	72	Depok Cinere	Depok	Jawa Barat
72	73	73	Ragunan	Jakarta Selatan	DKI Jakarta
73	74	74	Depok Cinere	Depok	Jawa Barat
74	75	75	Priuk	Jakarta Utara	DKI Jakarta
75	76	76	Jatinegara	Jakarta Timur	DKI Jakarta
76	77	77	Tanah Abang	Jakarta Pusat	DKI Jakarta
77	78	78	Depok	Depok	Jawa Barat
78	79	79	Depok	Depok	Jawa Barat
79	80	80	Kemang	Jakarta Selatan	DKI Jakarta
80	81	81	Kebon Jeruk	Jakarta Pusat	DKI Jakarta
81	82	82	Lenteng Agung	Jakarta Selatan	DKI Jakarta
82	83	83	Cempaka Emas	Jakarta Utara	DKI Jakarta
83	84	84	Slipi	Jakarta Barat	DKI Jakarta
84	85	85	Slipi	Jakarta Barat	DKI Jakarta
\.


