0	1	75	3	2019-12-12 00:00:00	5	39452	0.1	1	cash
1	2	19	6	2019-09-07 00:00:00	1	33732	0.1	1	cash
2	3	68	6	2017-10-05 00:00:00	2	23035	0.1	1	cash
3	4	27	5	2017-08-17 00:00:00	2	31237	0.1	0	link aja
4	5	82	6	2018-01-08 00:00:00	5	32000	0.1	1	cash
5	6	77	3	2018-01-09 00:00:00	2	63192	0.1	1	cash
6	7	40	1	2017-03-02 00:00:00	1	36584	0.1	1	cash
7	8	47	5	2017-06-28 00:00:00	3	36426	0.1	0	ovo
8	9	73	3	2016-07-14 00:00:00	3	42115	0.1	1	cash
9	10	34	1	2016-02-14 00:00:00	1	31084	0.1	0	shopeepay
10	11	79	6	2016-08-26 00:00:00	1	58106	0.1	1	cash
11	12	66	5	2016-06-02 00:00:00	2	61526	0.1	0	ovo
12	13	15	2	2019-09-11 00:00:00	4	45469	0.1	1	cash
13	14	26	5	2017-12-27 00:00:00	1	69824	0.1	1	cash
14	15	76	3	2018-01-14 00:00:00	2	51744	0.1	1	cash
15	16	47	1	2018-11-07 00:00:00	1	38640	0.1	1	cash
16	17	39	5	2016-01-14 00:00:00	5	42999	0.1	0	dana
17	18	66	4	2018-08-18 00:00:00	1	69007	0.1	1	cash
18	19	4	2	2016-07-10 00:00:00	2	54810	0.1	0	gopay
19	20	40	1	2016-03-09 00:00:00	4	62281	0.1	0	dana
20	21	12	3	2019-02-22 00:00:00	4	33456	0.1	1	cash
21	22	58	4	2016-12-11 00:00:00	3	34313	0.1	0	dana
22	23	25	1	2016-01-24 00:00:00	1	17250	0.1	0	ovo
23	24	22	6	2016-10-12 00:00:00	3	68604	0.1	1	cash
24	25	18	5	2016-07-21 00:00:00	2	56649	0.1	0	gopay
25	26	63	1	2018-03-11 00:00:00	3	28961	0.1	0	gopay
26	27	4	2	2016-09-20 00:00:00	2	55539	0.1	1	cash
27	28	9	6	2016-05-27 00:00:00	5	45963	0.1	0	link aja
28	29	26	4	2018-08-25 00:00:00	3	59866	0.1	1	cash
29	30	8	3	2016-02-12 00:00:00	1	55225	0.1	0	link aja
30	31	11	6	2018-05-26 00:00:00	5	48498	0.1	1	cash
31	32	46	2	2019-10-24 00:00:00	4	34266	0.1	1	cash
32	33	42	4	2016-07-17 00:00:00	5	54977	0.1	0	dana
33	34	70	3	2017-11-17 00:00:00	4	68504	0.1	1	cash
34	35	62	5	2018-04-15 00:00:00	1	32565	0.1	1	cash
35	36	60	5	2017-02-10 00:00:00	2	50636	0.1	1	cash
36	37	42	2	2018-09-26 00:00:00	4	43730	0.1	0	dana
37	38	74	2	2019-12-24 00:00:00	4	41460	0.1	1	cash
38	39	77	5	2016-06-30 00:00:00	5	48985	0.1	0	shopeepay
39	40	11	4	2019-06-16 00:00:00	3	23890	0.1	1	cash
40	41	55	5	2017-07-17 00:00:00	1	68719	0.1	1	cash
41	42	82	5	2016-03-20 00:00:00	2	50709	0.1	1	cash
42	43	12	4	2017-03-14 00:00:00	1	20436	0.1	0	link aja
43	44	73	3	2019-11-09 00:00:00	3	40323	0.1	1	cash
44	45	15	2	2017-01-21 00:00:00	1	32542	0.1	0	link aja
